id,name,parent_id/id,property_account_expense_categ/id,property_account_income_categ/id
cwa_module.cbl_1721515,BROODSNACKS GROOT,cwa_module.cbl_17215,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1722005,STOKBROOD,cwa_module.cbl_17220,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1722010,GEKOELDE HALFFABRIKATEN GROOT,cwa_module.cbl_17220,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1722505,SEIZOENSBROOD,cwa_module.cbl_17225,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1723005,TAARTEN EN SCHNITTES,cwa_module.cbl_17230,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1723010,VLAAIEN,cwa_module.cbl_17230,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1723505,KLEIN GEBAK,cwa_module.cbl_17235,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1724005,BANKET,cwa_module.cbl_17240,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_1730505,BLADERDEEG,cwa_module.cbl_17305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1731005,GROOT GEBAK,cwa_module.cbl_17310,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1731010,KLEIN GEBAK,cwa_module.cbl_17310,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1810510,BUITENLANDSE MAALTIJDEN,cwa_module.cbl_18105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1810515,BINNENLANDSE MAALTIJDEN,cwa_module.cbl_18105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1810520,MAALTIJDCOMPONENTEN,cwa_module.cbl_18105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1820505,BELEGD BROODJE/SANDWICH,cwa_module.cbl_18205,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1821005,BINNENLANDSE MAALTIJDEN,cwa_module.cbl_18210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1821010,BUITENLANDSE MAALTIJDEN,cwa_module.cbl_18210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1821015,(MAALTIJD)SOEPEN,cwa_module.cbl_18210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1821020,PIZZA,cwa_module.cbl_18210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1821025,MAALTIJDCOMPONENTEN / TRAITEURACHTIGE PRODUCTEN,cwa_module.cbl_18210,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_1830505,DIEPVRIES (MAALTIJD)SOEPEN,cwa_module.cbl_18305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1830510,K&K DIEPVRIESMENU'S,cwa_module.cbl_18305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1830515,PIZZA'S,cwa_module.cbl_18305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1830520,MAALTIJDCOMPONENTEN,cwa_module.cbl_18305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1830525,TRAITEURACHTIGE PRODUCTEN,cwa_module.cbl_18305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_1910505,DROOG HONDENVOER,cwa_module.cbl_19105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1910510,NAT HONDENVOER,cwa_module.cbl_19105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1910515,SNACKS VOOR HONDEN,cwa_module.cbl_19105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1911005,DROOG KATTENVOER,cwa_module.cbl_19110,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1911010,NAT KATTENVOER,cwa_module.cbl_19110,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1911015,SNACKS VOOR KATTEN,cwa_module.cbl_19110,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1911505,VOGELVOER,cwa_module.cbl_19115,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1911510,KNAAGDIERVOER,cwa_module.cbl_19115,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1911515,VISVOER,cwa_module.cbl_19115,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1920505,ORGAANVLEES VERS,cwa_module.cbl_19205,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_1930505,"ORGAANVLEES, DIEPVRIES",cwa_module.cbl_19305,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_2010505,SIGARETTEN,cwa_module.cbl_20105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2010510,SIGAREN,cwa_module.cbl_20105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2010515,SHAG,cwa_module.cbl_20105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2010520,PIJPTABAK,cwa_module.cbl_20105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2011005,VLOEI,cwa_module.cbl_20110,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2011010,HULZEN/FILTERS,cwa_module.cbl_20110,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2011015,AANSTEKERS,cwa_module.cbl_20110,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110505,"TOILETZEEP, BADZEEP, DOUCHESCHUIM",cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110510,VERZORGENDE COSMETICA,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110511,DEODORANTS,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110512,DAMES EN HERENGEUREN,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110513,ONTHARINGSPRODUCTEN,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110515,DECORATIEVE COSMETICA EN TOEBEHOREN,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110520,SHAMPOO,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110525,OVERIGE HAARVERZORGINGS PRODUCTEN,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110530,MONDVERZORGING,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110535,BABYVERZORGING,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110540,SCHEERPRODUCTEN EN TOEBEHOREN,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110545,"WONDARTIKELEN, INHALER",cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2110550,CONDOOMS,cwa_module.cbl_21105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2111005,"DAMESVERBAND, INLEGKRUISJES, TAMPONS",cwa_module.cbl_21110,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2111010,WEGGOOILUIERS,cwa_module.cbl_21110,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2111015,INCONTINENTIEPRODUCTEN,cwa_module.cbl_21110,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2111505,(VOCHTIG) WC-PAPIER,cwa_module.cbl_21115,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2111510,KEUKENROLLEN,cwa_module.cbl_21115,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2112005,"PAPIEREN ZAKDOEKJES, TISSUES",cwa_module.cbl_21120,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2210505,WITWASMIDDELEN,cwa_module.cbl_22105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2210510,"BONT-, WOL-, FIJN-, EN HANDWASMIDDELEN",cwa_module.cbl_22105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2210515,VOORWASMIDDELEN,cwa_module.cbl_22105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2210520,WASVERZACHTERS,cwa_module.cbl_22105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2210525,OVERIG WASMIDDELEN,cwa_module.cbl_22105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2210530,AFWAS-/VAATWASMIDDELEN,cwa_module.cbl_22105,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_2210535,"GENERIEKE REINIGERS, SCHUURMIDDEL",cwa_module.cbl_22105,"voedselcoop_7307","voedselcoop_8007"
